Artist,Title,Label,Peak,Weeks
Clout,Oowatanite,Carrère,50,1
Clout,Portable Radio,Carrère,54,1
Clout,The Best Of Me,Carrère,73,1
Clout,Under Fire,Carrère,15,17
Clowns & Helden,Ich liebe dich,Teldec,23,1
Club House,Do It Again Medley With Billie Jean,WEA,46,1
Club Nouveau,Lean On Me,Warner Bros.,72,1
Coast To Coast,(Do) The Hucklebuck,Metronome,43,1
Cock Robin,Just Around The Corner,CBS,23,1
Cock Robin,The Biggest Fool Of All,CBS,50,1
Cock Robin,The Promise You Made,CBS,59,1
Cock Robin,Thought You Were On My Side,CBS,36,1
Cock Robin,When Your Heart Is Weak,CBS,34,1
Coldcut,Doctorin' The House,Intercord,38,1
Coldcut,My Telephone,Intercord,69,1
Coldcut feat. Junior Reid And The Ahead Of Our Time Orchestra,Stop This Crazy Thing,Intercord,31,1
Coldcut feat. Lisa Stansfield,People Hold On,Intercord,44,1
Colonel Abrams,Trapped,MCA,48,1
Commodores,Animal Instinct,Motown,43,1
Commodores,Goin' To The Bank,Polydor-DG,50,1
Commodores,Lady (You Bring Me Up),Motown,69,1
Commodores,Nightshift,Motown,32,1
Communards,So Cold The Night,London-Metronome,35,1
Communards with Sarah Jane Morris,Don't Leave Me This Way,London-Metronome,49,1
Conny & Jean,Felicita,Big Mouth,65,1
Conny & Jean,Mamma Maria,Big Mouth,69,1
Corey Hart,Never Surrender,EMI,53,1
Corey Hart,Sunglasses At Night,EMI,39,1
Corinne Hermès,Si la vie est cadeau,Polydor,69,1
Costa Cordalis,Am Tag als die Sonne nicht mehr kam,CBS,74,1
Costa Cordalis,Pan,CBS,65,1
Cretu,Samurai,Virgin,26,1
Crowded House,Better Be Home Soon,Capitol,62,1
Crowded House,Don't Dream It's Over,Capitol,38,1
Culture Beat feat. Jo van Nelsen,Der Erdbeermund,CBS,86,1
Culture Club,Church Of The Poison Mind,Virgin,31,1
Culture Club,Do You Really Want To Hurt Me,Virgin,21,1
Culture Club,It's A Miracle,Virgin,55,1
Culture Club,Karma Chameleon,Virgin,71,1
Culture Club,Move Away,Virgin,38,1
Culture Club,The War Song,Virgin,46,1
Culture Club,Time (Clock Of The Heart),Virgin,41,1
Culture Club,Victims,Virgin,50,1
Curiosity Killed The Cat,Down To Earth,Mercury-Phonogram,47,1
Curiosity Killed The Cat,Misfit,Mercury-Phonogram,60,1
Cutting Crew,(I Just) Died In Your Arms,Virgin,73,1
Cutting Crew,I've Been In Love Before,Virgin,57,1
Cyndi Lauper,All Through The Night,Portrait,46,1
Cyndi Lauper,Girls Just Want To Have Fun,Epic,48,1
Cyndi Lauper,I Drove All Night,Epic,37,1
Cyndi Lauper,Money Changes Everything,Portrait,60,1
Cyndi Lauper,She Bop,Epic,36,1
Cyndi Lauper,The Goonies 'R' Good Enough,Epic,49,1
Cyndi Lauper,Time After Time,Epic,64,1
Cyndi Lauper,True Colors,Portrait,37,1
D Mob,Put Your Hands Together,FFRR-Metronome,96,1
D-Mob feat. Gary Haisman,We Call It Acieed,Metronome,28,1
DJ's Factory,A View To A Kill,Rush Records,26,1
Dalbello,Talk To Me,Capitol,67,1
Dalbello,Tango,Capitol,70,1
Daliah Lavi,Ich wollt' nur mal mit dir reden,EMI,63,1
Dan Hartman,We Are The Young,MCA,70,1
Daniel,Julie,Ariola,30,1
Danny Wilson,Mary's Prayer,Virgin,47,1
Danny Wilson,The Second Summer Of Love,Virgin,72,1
Daryl Hall,Dreamtime,RCA,54,1
Daryl Hall & John Oates,I Can't Go For That (No Can Do),RCA,74,1
Daryl Hall & John Oates,Method Of Modern Love,RCA,51,1
Daryl Hall + John Oates,Maneater,RCA,51,1
Daryl Hall / John Oates,Out Of Touch,RCA,51,1
Dave Stewart with Barbara Gaskin,It's My Party,Stiff,28,1
David A. Stewart feat. Candy Dulfer,Lily Was Here,RCA,83,1
David Bowie,Absolute Beginners,Virgin,55,1
David Bowie,Ashes To Ashes,RCA,52,1
David Bowie,Blue Jean,EMI,73,1
David Bowie,China Girl,EMI,47,1
David Bowie,Day-In Day-Out,EMI,42,1
David Bowie,Fashion,RCA,39,1
David Bowie,Let's Dance,EMI,44,1
David Bowie,Loving The Alien,EMI,50,1
David Bowie,Modern Love,EMI,41,1
David Bowie,Time Will Crawl,EMI,57,1
David Bowie,Underground,EMI,50,1
David Bowie / Pat Metheny Group,This Is Not America,EMI,29,1
David Bowie and Mick Jagger,Dancing In The Street,EMI,66,1
David Cassidy,Romance (Let Your Heart Go),Arista,56,1
David Cassidy,The Last Kiss,Arista,32,1
David Christie,Our Time Has Come,Polydor,70,1
David Christie,Saddle Up,Polydor,38,1
David Hasselhoff,Flying On The Wings Of Tenderness,White,62,1
David Hasselhoff,Is Everybody Happy,White,66,1
David Hasselhoff,Looking For Freedom,White,12,1
David Knopfler,Heart To Heart,Intercord,53,1
Dazz Band,Let It All Blow,Motown,64,1
De Bläck Fööss,Bye Bye My Love,EMI,67,1
De La Soul,Me Myself And I,BCM,33,1
DeBarge,Rhythm Of The Night,Gordy,30,1
Deacon Blue,Fergus Sings The Blues,CBS,73,1
Dead Or Alive,In Too Deep,Epic,72,1
Dead Or Alive,Lover Come Back To Me,Epic,71,1
Dead Or Alive,You Spin Me Round (Like A Record),Epic,25,1
Debbie Gibson,Electric Youth,Atlantic,27,1
Debbie Harry,French Kissin,Chrysalis,50,1
Deborah Sasson,Passion And Pain,Westside,39,1
Deborah Sasson & MCL,(Carmen) Danger In Her Eyes,8ighty 8ght,41,1
Dee C. Lee,See The Day,CBS,61,1
Def Leppard,Pour Some Sugar On Me,Mercury-Phonogram,50,1
Delegation,I Wantcha' Back,Ariola,71,1
Delegation,Put A Little Love On Me,Ariola,48,1
Den Harrow,Bad Boy,Baby,42,1
Den Harrow,Born To Love,Baby,54,1
Den Harrow,Catch The Fox (Caccia alla volpe),Baby,43,1
Den Harrow,Charleston,Baby,66,1
Den Harrow,Don't Break My Heart,Baby,66,1
Den Harrow,Holiday Night,Baby,42,1
Den Harrow,Tell Me Why,Baby,25,1
Den Harrow,You Have A Way,Baby,56,1
Deniece Williams,Let's Hear It For The Boy,CBS,65,1
Denise Lasalle,My Toot Toot,Epic,58,1
Depeche Mode,A Question Of Lust,Mute,67,1
Depeche Mode,A Question Of Time,Mute,40,1
Depeche Mode,Behind The Wheel,Mute,70,1
Depeche Mode,Blasphemous Rumours / Somebody,Mute,34,1
Depeche Mode,Enjoy The Silence,Mute,18,1
Depeche Mode,Everything Counts,Mute,68,1
Depeche Mode,Everything Counts (Live),Mute,54,1
Depeche Mode,Get The Balance Right!,Mute,53,1
Depeche Mode,It's Called A Heart,Mute,25,1
Depeche Mode,Leave In Silence,Mute,75,1
Depeche Mode,Little 15,Mute,45,1
Depeche Mode,Love In Itself,Mute,44,1
Depeche Mode,Master And Servant,Mute,15,1
Depeche Mode,Never Let Me Down Again,Mute,14,1
Depeche Mode,People Are People,Mute,37,1
Depeche Mode,Personal Jesus,Mute,40,1
Depeche Mode,See You,Mute,59,1
Depeche Mode,Shake The Disease,Mute,25,1
Depeche Mode,Strangelove,Mute,16,1
Depeche Mode,Stripped,Mute,23,1
Depeche Mode,The Meaning Of Love,Mute,72,1
Desireless,Voyage voyage,CBS,28,1
Deutsch Amerikanische Freundschaft (DAF),Voulez-vous coucher avec moi ce soir,Dean,54,1
Device,Hanging On A Heart Attack,Chrysalis,53,1
Dexys Midnight Runners & The Emerald Express,Come On Eileen,Mercury,55,1
Diana Ross,Chain Reaction,EMI,69,1
Diana Ross,Dirty Looks,EMI,65,1
Diana Ross,Eaten Alive,Capitol,46,1
Diana Ross,I'm Coming Out,Motown,32,1
Diana Ross,Muscles,Capitol,69,1
Diana Ross,My Old Piano,Motown,22,1
Diana Ross,Pieces Of Ice,Capitol,50,1
Diana Ross,Swept Away,Capitol,63,1
Diana Ross,Touch By Touch,Capitol,57,1
Diana Ross,Upside Down,Motown,57,1
Diana Ross,Why Do Fools Fall In Love,Capitol,63,1
Die Doraus & die Marinas,Fred vom Jupiter,Telefunken,32,1
Die Flamingos,"Goodbye Maria, Goodbye My Love",EMI,68,1
Die Flippers,Die rote Sonne von Barbados,Bellaphon,15,1
Die Flippers,Lotosblume,Dino,97,1
Die Flippers,Malaika,Bellaphon,40,1
Die Flippers,Mexico,Bellaphon,53,1
Die Flippers,St. Tropez,Bellaphon,54,1
Die Schlümpfe,"Willi, Willi (Kinderreime)",Telefunken,33,1
Die Strandjungs,Surfen auf'm Baggersee,Electrola,60,1
Die Toten Hosen,Hier kommt Alex,Virgin,34,1
Die Wildecker Herzbuben,Herzilein,Hansa,77,1
Die Ärzte,Bitte bitte,CBS,69,1
Die Ärzte,Radio brennt,CBS,50,1
Die Ärzte,Westerland,CBS,38,1
Die Ärzte,Zu spät,CBS,31,1
Die Ärzte feat. The Incredible Hagen,Gehn wie ein Ägypter,CBS,44,1
Dieter Hallervorden,Bauernball im Hühnerstall,Philips,56,1
Dieter Hallervorden,Punker Maria,Philips,28,1
Dieter Hallervorden,"Tierischer Tango (Mein Schatz, heut' hast du Schwein)",Philips,29,1
Dionne & Friends,That's What Friends Are For,Arista,43,1
Dionne Warwick,All The Love In The World,Arista,67,1
Dionne Warwick,Heartbreaker,Arista,22,1
Dire Straits,Money For Nothing,Vertigo,32,1
Dire Straits,Tunnel Of Love,Vertigo,44,1
Dire Straits,Twisting By The Pool,Vertigo,45,1
Dire Straits,Walk Of Life,Vertigo,48,1
Dirk Busch,Du bist keine Mona Lisa,Polydor,54,1
Divine,I'm So Beautiful,Proto,55,1
Divine,Love Reaction,Metronome,59,1
Divine,Shake It Up,Vanguard,30,1
Divine,Shoot Your Shot,Vanguard,23,1
Divine,Walk Like A Man,Proto,62,1
Divine,You Think You're A Man,Bellaphon,32,1
Doctor & The Medics,Spirit In The Sky,I.R.S.,29,1
Dollar,It's Nature's Way (No Problem),London-Metronome,48,1
Dollar,O l'amour,Metronome,44,1
Dolly Dots,Hela-di-ladi-lo,Carrère,42,1
Dolly Dots,Leila (The Queen Of Sheba),Polydor,74,1
Dolly Dots,P.S.,Polydor,52,1
Dolly Dots,S.T.O.P.,Polydor,71,1
Dolly Parton,9 To 5,RCA,67,1
Dominoe,Here I Am,RCA,40,1
Dominoe,Let's Talk About Life,RCA,69,1
Don Henley,The Boys Of Summer,Geffen,45,1
Don Henley,The End Of The Innocence,Geffen,73,1
Don Johnson,Heartache Away,Epic,36,1
Don Johnson,Heartbeat,Epic,45,1
Don Johnson,Other People's Lives,Epic,87,1
Don Johnson,Tell It Like It Is,Epic,69,1
Donna Allen,Serious,Top Seller,46,1
Donna Summer,Dim All The Lights,Casablanca,25,8
Donna Summer,I Don't Wanna Get Hurt,Warner Bros.,32,1
Donna Summer,On The Radio,Casablanca,66,1
Donna Summer,She Works Hard For The Money,Mercury,48,1
Donna Summer,This Time I Know It's For Real,Warner Bros.,31,1
Donna Summer / Barbra Streisand,No More Tears (Enough Is Enough),Casablanca,31,10
Doris D And The Pins,Dance On,Papagayo,52,1
Doris D And The Pins,Shine Up,Papagayo,52,1
Double,The Captain Of Her Heart,Metronome,65,1
Double Trouble & Rebel MC,Street Tuff,Metronome,96,1
Dr. Hook,Baby Makes Her Blue Jeans Talk,Mercury,70,1
Dr. Hook,Better Love Next Time,Capitol,33,10
Dr. Hook,Girls Can Get It,Mercury,61,1
Dr. Hook,In Over My Head,Capitol,45,1
Dr. Hook,Sexy Eyes,Capitol,10,1
Dr. Hook,When You're In Love With A Beautiful Woman,Capitol,8,19
Drafi Deutscher,Das 11. Gebot,EMI,36,1
Drafi Deutscher,Herz an Herz Gefühl,Electrola,59,1
Drafi Deutscher,Sensuality,Electrola,60,1
Drafi Deutscher,Uns're Herzen frieren,Electrola,66,1
Dschinghis Khan,"Der Dudelmoser (Auf der Alm, da gibt's koa Sünd')",Jupiter,46,1
Dschinghis Khan,Hadschi Halef Omar,Jupiter,72,1
Dschinghis Khan,Klabautermann,Jupiter,37,1
Dschinghis Khan,Loreley,Jupiter,51,1
Dschinghis Khan,Moskau,Jupiter,3,28
Dschinghis Khan,Pistolero,Jupiter,15,1
Dschinghis Khan,Rom,Jupiter,19,1
Dschinghis Khan,Wir sitzen alle im selben Boot,Jupiter,48,1
Duran Duran,A View To A Kill,Parlophone,65,1
Duran Duran,All She Wants Is,EMI,28,1
Duran Duran,I Don't Want Your Love,EMI,31,1
Duran Duran,Is There Something I Should Know?,EMI,29,1
Duran Duran,Meet El Presidente,EMI,54,1
Duran Duran,Notorious,EMI,69,1
Duran Duran,Save A Prayer [Special Edited Version],Parlophone,61,1
Duran Duran,Skin Trade,EMI,71,1
Duran Duran,The Reflex,EMI,28,1
Duran Duran,The Wild Boys,Parlophone,60,1
Duran Duran,Union Of The Snake,EMI,44,1
Dusty Springfield,In Private,Parlophone,65,1
Dusty Springfield,Nothing Has Been Proved,Parlophone,57,1
Dux Dux,This Is A Sound,8ighty 8ght,55,1
DÖF / Tauchen - Prokopetz,Taxi,WEA,57,1
Earth & Fire,Fire Of Love,Vertigo,43,1
Earth & Fire,Twenty Four Hours,Polydor,72,1
Earth & Fire,Weekend,Vertigo,75,1
"Earth, Wind & Fire",Fall In Love With Me,CBS,55,1
Eartha Kitt,I Love Men,Metronome,40,1
Eartha Kitt,Where Is My Man,RCA,34,1
Eddie Money,Take Me Home Tonight,CBS,75,1
Eddie Murphy,Party All The Time,CBS,52,1
Eddy Grant,Baby Come Back,Ice,67,1
Eddy Grant,Can't Get Enough Of You,Ice,30,1
Eddy Grant,Do You Feel My Love?,Ice,45,1
Eddy Grant,Electric Avenue,Ice,72,1
Eddy Grant,Gimme Hope Jo'anna,Parlophone,31,1
Eddy Grant,I Don't Wanna Dance,Ice,60,1
Eddy Grant,"I Love You Yes, I Love You",Ice,66,1
Eddy Grant,Romancing The Stone,Ice,56,1
Eddy Grant,Till I Can't Take Love No More,Ice,53,1
Eddy Grant,War Party,Ice,57,1
Eddy Huntington,U.S.S.R.,Zyx,67,1
Eddy Huntington,Up & Down,Zyx,70,1
Edelweiss,Bring Me Edelweiss,Gig,58,1
Edie Brickell & New Bohemians,Circle,Geffen,68,1
Eighth Wonder,Cross My Heart,CBS,23,1
Eighth Wonder,I'm Not Scared,CBS,56,1
Elaine Paige and Barbara Dickson,I Know Him So Well,RCA,34,1
Electric Boogie Men,Breakdancing,Teldec,36,1
Electric Light Orchestra,All Over The World,Jet,37,1
Electric Light Orchestra,Calling America,Jet,46,1
Electric Light Orchestra,Confusion,Jet,6,10
Electric Light Orchestra,Don't Bring Me Down,Jet,5,15
Electric Light Orchestra,Don't Walk Away,Jet,68,1
Electric Light Orchestra,Here Is The News,Jet,65,1
Electric Light Orchestra,Hold On Tight,Jet,27,1
Electric Light Orchestra,I'm Alive,Jet,51,1
Electric Light Orchestra,Rock'n'Roll Is King,Jet,72,1
Electric Light Orchestra,The Diary Of Horace Wimp,Jet,52,1
Electric Light Orchestra,The Way Life's Meant To Be,Jet,31,1
Electric Light Orchestra,Twilight,Jet,17,1
Electronica's,Dance Little Bird,Philips,50,1
Electronica's,Dance Little Cat,Philips,63,1
"Ellis, Beggs & Howard","Big Bubbles, No Troubles",RCA,44,1
"Ellis, Beggs & Howard",Where Did Tomorrow Go?,RCA,63,1
Elton John,A Word In Spanish,Rocket-Phonogram,55,1
Elton John,Blue Eyes,Rocket,51,1
Elton John,Healing Hands,Rocket-Phonogram,52,1
Elton John,I Don't Wanna Go On With You Like That,Rocket-Phonogram,54,1
Elton John,I Guess That's Why They Call It The Blues,Rocket,28,1
Elton John,I'm Still Standing,Rocket,37,1
Elton John,Kiss The Bride,Rocket,72,1
Elton John,Little Jeanie,Rocket,70,1
Elton John,Nikita,Rocket,37,1
Elton John,Nobody Wins,Rocket,56,1
Elton John,Sacrifice,Rocket-Phonogram,90,1
Elton John,Sad Songs (Say So Much),Rocket,40,1
Elton John,Wrap Her Up,Rocket-Phonogram,58,1
Elton John & Millie Jackson,Act Of War,Rocket,52,1
Elton John with The Melbourne Symphony Orchestra,Candle In The Wind,Rocket-Phonogram,70,1
Emmylou Harris,Mister Sandman,Warner Bros.,58,1
Endgames,Love Cares,Virgin,72,1
Endgames,Waiting For Another Chance,Virgin,46,1
Engelbert,On The Wings Of A Silverbird,White,52,1
Engelbert,Radio Dancing,White,65,1
Engelbert,Red Roses For My Lady,Ariola,94,1
Engelbert,The Spanish Night Is Over,Ariola,42,1
Engelbert,Torero (She Brings Him Spanish Roses),Ariola,61,1
Enigma [UK],Ain't No Stoppin',Creole,51,1
Ennio Morricone,Chi mai,WEA,48,1
Enya,Orinoco Flow,WEA,40,1
Erasure,A Little Respect,Mute,34,1
Erasure,Blue Savannah,Mute,91,1
Erasure,Chains Of Love,Mute,22,1
Erasure,Crackers International,Mute,20,1
Erasure,Drama!,Mute,85,1
Erasure,It Doesn't Have To Be,Mute,66,1
Erasure,Oh l'amour,Mute,33,1
Erasure,Ship Of Fools,Mute,25,1
Erasure,Sometimes,Mute,64,1
Erasure,The Circus,Mute,48,1
Erasure,Victim Of Love,Mute,37,1
Erasure,Who Needs Love Like That,Mute,62,1
Erasure,You Surround Me,Mute,88,1
Eric B. & Rakim,Paid In Full,Island,39,1
Eric Burdon & The Animals,Good Times,Polydor-DGG,54,1
Eric Carmen,Hungry Eyes,RCA,32,1
Eroc,Wolkenreise,Metronome,75,1
Errol Brown,Personal Touch,WEA,48,1
Erste Allgemeine Verunsicherung,An der Copacabana,EMI,53,1
Erste Allgemeine Verunsicherung,Ba Ba Banküberfall,EMI,75,1
Erste Allgemeine Verunsicherung,Burli,EMI,41,1
Erste Allgemeine Verunsicherung,Der Alpen-Rap,EMI,45,1
Erste Allgemeine Verunsicherung,Fata Morgana,EMI,30,1
Erste Allgemeine Verunsicherung,Heiße Nächte (in Palermo),EMI,56,1
Erste Allgemeine Verunsicherung,Kann denn Schwachsinn Sünde sein...?,EMI,46,1
Erste Allgemeine Verunsicherung,"Küss' die Hand, schöne Frau",EMI,66,1
Erste Allgemeine Verunsicherung,Märchenprinz,EMI,39,1
Eruption,"Go Johnnie Go (Keep On Walking, John B.)",Hansa Int.,63,1
Eruption,Runaway,Hansa Int.,41,1
Eruption,You (You Are My Soul),Hansa Int.,70,1
Europe,Carrie,Epic,31,1
Europe,Rock The Night,Epic,30,1
Europe,Superstitious,Epic,31,1
Europe,The Final Countdown,Epic,24,1
Eurythmics,Beethoven,RCA,42,1
Eurythmics,Don't Ask Me Why,RCA,68,1
Eurythmics,Here Comes The Rain Again,RCA,37,1
Eurythmics,It's Alright (Baby's Coming Back),RCA,29,1
Eurythmics,Love Is A Stranger,RCA,64,1
Eurythmics,Revival,RCA,59,1
Eurythmics,Right By Your Side,RCA,63,1
Eurythmics,Sexcrime (Nineteen Eighty-Four),Virgin,63,1
Eurythmics,Shame,RCA,57,1
Eurythmics,Sweet Dreams (Are Made Of This),RCA,65,1
Eurythmics,The King And Queen Of America,RCA,70,1
Eurythmics,The Miracle Of Love,RCA,58,1
Eurythmics,There Must Be An Angel (Playing With My Heart),RCA,58,1
Eurythmics,Thorn In My Side,RCA,48,1
Eurythmics,When Tomorrow Comes,RCA,43,1
Eurythmics,Who's That Girl?,RCA,31,1
Eurythmics,Would I Lie To You?,RCA,53,1
Eurythmics and Aretha Franklin,Sisters Are Doin' It For Themselves,RCA,42,1
Evelyn Thomas,High Energy,Ariola,55,1
Evelyn Thomas,Masquerade,Ariola,36,1
Exile,Heart And Soul,RAK,75,1
Exile,The Part Of Me That Needs You Most,EMI,33,10
Exile,Too Proud To Cry,EMI,73,1
Extrabreit,Her mit den Abenteuern,Metronome,70,1
Extrabreit,"Hurra, hurra, die Schule brennt",Reflektor,26,1
Extrabreit,Polizisten,Reflektor,42,1
F-R David,Words,Carrère,63,1
F.P.I. Project,"Rich In Paradise ""Going Back To My Roots""",Zyx,83,1
F.R David,Pick Up The Phone,Carrère,31,1
F.R. David,I Need You,Carrère,73,1
FAR Corporation,Stairway To Heaven,IMP,28,1
Fairground Attraction,Find My Love,RCA,37,1
Fairground Attraction,Perfect,RCA,74,1
Falco,"Coming Home (Jeanny Part 2, ein Jahr danach)",Teldec,31,1
Falco,Der Kommissar,Gig,43,1
Falco,Emotional,Teldec,56,1
Falco,Jeanny Part I,Gig,31,1
Falco,Maschine brennt,Gig,54,1
Falco,Rock Me Amadeus,Gig,39,1
Falco,The Sound Of Musik,Teldec,34,1
Falco,Vienna Calling,Gig,64,1
Falco,Wiener Blut,Teldec,73,1
Falco meets Brigitte Nielsen,Body Next To Body,Teldec,70,1
Fancy,China Blue,Metronome,59,1
Fancy,Chinese Eyes,Metronome,21,1
Fancy,Flames Of Love,Metronome,65,1
Fancy,Fools Cry,Metronome,24,1
Fancy,Get Lost Tonight,Metronome,46,1
Fancy,Lady Of Ice,Metronome,45,1
Fancy,Latin Fire,Metronome,24,1
Fancy,No Tears,Metronome,53,1
Fancy,Slice Me Nice,Metronome,45,1
Fat Boys,"Louie, Louie",Polydor-DGG,45,1
Fat Boys & The Beach Boys,Wipeout!,Polydor-DGG,75,1
Fat Boys with Chubby Checker,The Twist,Polydor-DGG,16,1
Feargal Sharkey,A Good Heart,Virgin,49,1
Feargal Sharkey,You Little Thief,Virgin,33,1
Fehlfarben,Ein Jahr (Es geht voran),Welt-Rekord,30,1
Ferry Aid,Let It Be,CBS,47,1
Fiction Factory,(Feels Like) Heaven,CBS,31,1
Fiction Factory,Ghost Of Love,CBS,70,1
Fine Young Cannibals,Don't Look Back,London-Metronome,97,1
Fine Young Cannibals,Ever Fallen In Love,Metronome,48,1
Fine Young Cannibals,Good Thing,London-Metronome,68,1
Fine Young Cannibals,I'm Not The Man I Used To Be,London-Metronome,78,1
Fine Young Cannibals,Johnny Come Home,London,31,1
Fine Young Cannibals,She Drives Me Crazy,Metronome,59,1
Fine Young Cannibals,Suspicious Minds,Metronome,42,1
First Patrol,The Streets Of Miami,Zyx,50,1
First Patrol,Theme From Rambo II,Rush,50,1
Fischer-Z,Marliese,Liberty,62,1
Fix & Fertig,Der blonde Hans von der Bundesbahn,Teldec,35,1
Flash And The Pan,Ayla,Epic,63,1
Flash And The Pan,Early Morning Wake Up Call,Epic,68,1
Flash And The Pan,Midnight Man,Epic,37,1
Fleetwood Mac,Big Love,Warner Bros.,41,1
Fleetwood Mac,Family Man,Warner Bros.,37,1
Fleetwood Mac,Gypsy,Warner Bros.,36,1
Fleetwood Mac,Hold Me,Warner Bros.,75,1
Fleetwood Mac,Little Lies,Warner Bros.,39,1
Fleetwood Mac,Oh Diane,Warner Bros.,74,1
Fleetwood Mac,Sara,Warner Bros.,54,1
Fleetwood Mac,Seven Wonders,Warner Bros.,54,1
Fleetwood Mac,Tusk,Warner Bros.,7,10
Florian Haidt,"Rote Rosen, rote Lippen, roter Wein",EMI,71,1
Foreigner,I Want To Know What Love Is,Atlantic,48,1
Foreigner,Juke Box Hero,Atlantic,47,1
Foreigner,Say You Will,Atlantic,54,1
Foreigner,That Was Yesterday,Atlantic,51,1
Foreigner,Urgent,Atlantic,40,1
Foreigner,Waiting For A Girl Like You,Atlantic,31,1
Fox The Fox,Flirting And Showing,CBS,51,1
Fox The Fox,Precious Little Diamond,CBS,34,1
Foyer Des Arts,Wissenswertes über Erlangen,WEA,69,1
France Gall,Babacar,WEA,14,1
France Gall,Ella elle l'a,WEA,23,1
Francesco Napoli,Balla... Balla!,BCM,18,1
Francesco Napoli,Balla... Balla! - Vol. 2,BCM,29,1
Francesco Napoli,Ma quale idea,BCM,70,1
Frank Duval,Give Me Your Love,Teldec,20,1
Frank Duval,If I Could Fly Away,Teldec,74,1
Frank Duval,Living Like A Cry,Teldec,46,1
Frank Duval,Ways,Teldec,72,1
Frank Duval & Kalina Maloyer,Liebe und Tod,Teldec,25,1
Frank Duval & Kalina Maloyer,Time For Lovers,Teldec,68,1
Frank Duval & Orchestra,Angel Of Mine,Telefunken,21,1
Frank Duval & Orchestra,Cry (For Our World),Teldec,12,1
Frank Duval & Orchestra,Face To Face,Teldec,13,1
Frank Duval & Orchestra,Todesengel,Telefunken,20,10
Frank Duval feat. Peter Bischof,What A Day,Teldec,68,1
Frank Farian Corporation feat. Reggie Tsiboe,Mother And Child Reunion,Hansa,38,1
Frank Ryan,You You,Electrola,72,1
Frank Stallone,Far From Over,RSO,34,1
Frank Zander,"Da da da ich weiß Bescheid, du weißt Bescheid",Hansa,61,1
Frank Zander,Hier kommt Kurt,Intercord,74,1
Frank Zander,Jeannie (Die reine Wahrheit),Teldec,28,1
Frank Zander,Marlene,Blow Up,45,1
Frank Zappa,Bobby Brown,CBS,43,1
Frank Zappa,I Don't Wanna Get Drafted,CBS,71,1
Frankie Goes To Hollywood,Rage Hard,Island,15,1
Frankie Goes To Hollywood,Relax,Island,58,1
Frankie Goes To Hollywood,The Power Of Love,Island,19,1
Frankie Goes To Hollywood,Two Tribes,Island,67,1
Frankie Goes To Hollywood,Warriors (Of The Wasteland),Island,57,1
Frankie Goes To Hollywood,Watching The Wildlife,Island,64,1
Frankie Goes To Hollywood,Welcome To The Pleasuredome,Island,47,1
François Feldman et Joniece Jamison,Joue pas,Metronome,80,1
Fred Sonnenschein und seine Freunde,"Ja, wenn wir alle Englein wären",Hansa,46,1
Freddie Aguilar,Anak,RCA,66,1
Freddie Mercury,I Was Born To Love You,CBS,38,1
Freddie Mercury,Love Kills,CBS,42,1
Freddie Mercury,Made In Heaven,CBS,60,1
Freddie Mercury,The Great Pretender,Parlophone,41,1
Freddie Mercury & Montserrat Caballé,Barcelona,Polydor-DGG,47,1
Freddy Quinn,Istanbul ist weit,Polydor,46,1
Freeez,I.O.U.,Virgin,73,1
Freeez,Pop Goes My Love,Virgin,51,1
Freur,Doot-Doot,CBS,47,1
Frida,I Know There's Something Going On,Polydor,72,1
Frida,Shine,Polydor,63,1
Frida,To Turn The Stone,Polydor,39,1
Fritz Brause,Shilly Shally,Papagayo,52,1
Fritz Brause,The Wunderbar,Papagayo,70,1
Frl. Menke,Hohe Berge,Polydor,53,1
Frl. Menke,Traumboy,Polydor,65,1
Frl. Menke,Tretboot in Seenot,Polydor,33,1
Front 242,Never Stop,Animalized,45,1
Fun Fun,Colour My Love,Teldec,39,1
Fun Fun,Give Me Your Love,Teldec,34,1
Fun Fun,Happy Station,Teldec,25,1
Fux,Einsam für mich,EMI,70,1
Fux,Überdosis Glück,EMI,54,1
G'Race,Manhattan,WEA,72,1
G.G. Anderson,Am weißen Strand von San Angelo,Hansa,60,1
G.G. Anderson,Cheerio,Hansa Int.,59,1
G.G. Anderson,Die Sonne von St. Helena,Hansa,61,1
G.G. Anderson,Hättest du heut' Zeit für mich,Hansa,59,1
G.G. Anderson,Ich glaube an die Zärtlichkeit,Hansa,74,1
G.G. Anderson,Jim And Andy,Hansa Int.,60,1
G.G. Anderson,Mama Lorraine,Hansa Int.,55,1
G.G. Anderson,Mädchen Mädchen,Hansa,66,1
G.G. Anderson,S.O.S. mein Herz ertrinkt,Hansa,58,1
G.G. Anderson,Santa Lucia - versunken im Meer,Hansa,56,1
G.G. Anderson,Sommernacht in Rom,Hansa,60,1
G.G. Anderson,"Ti amo, Maria",Hansa,58,1
G.G. Anderson,Und dann nehm' ich dich in meine Arme,Hansa,49,1
G.L.S.-United,Rapper's Deutsch,Metronome,67,1
Garland Jeffreys,Matador,A&M,24,1
Gary Byrd And The G. B. Experience,The Crown,Motown,52,1
Gary Low,I Want You,Savoir Faire,53,1
Gary Moore / Phil Lynott,Out In The Fields,Virgin,21,1
Gazebo,I Like Chopin,Baby,27,1
Gazebo,Lunatic,Baby,47,1
Gazebo,Master Piece,Baby,35,1
Gebrüder Blattschuss,Früh-stück,Hansa,24,1
